costGreen,costWhite,costBlue,costBlack,costRed,discColor,discAmt,expansion,level,vps,fileName
2,1,4,0,0,RED,1,STANDARD,2,2,2r-5.png
0,3,0,5,0,RED,1,STANDARD,2,2,2r-6.png
1,0,0,2,4,WHITE,1,STANDARD,2,2,2w-1.png
0,0,0,3,5,WHITE,1,STANDARD,2,2,2w-2.png
0,0,0,0,5,WHITE,1,STANDARD,2,2,2w-3.png
0,6,0,0,0,WHITE,1,STANDARD,2,3,2w-4.png
0,2,3,0,3,WHITE,1,STANDARD,2,1,2w-5.png
3,0,0,2,2,WHITE,1,STANDARD,2,1,2w-6.png
3,0,0,3,6,BLACK,1,STANDARD,3,4,3blk-1.png
0,0,0,0,7,BLACK,1,STANDARD,3,4,3blk-2.png
0,0,0,3,7,BLACK,1,STANDARD,3,5,3blk-3.png
5,3,3,0,3,BLACK,1,STANDARD,3,3,3blk-4.png
0,7,3,0,0,BLUE,1,STANDARD,3,5,3blu-1.png
0,6,3,3,0,BLUE,1,STANDARD,3,4,3blu-2.png
3,3,0,5,3,BLUE,1,STANDARD,3,3,3blu-3.png
0,7,0,0,0,BLUE,1,STANDARD,3,4,3blu-4.png
3,3,6,0,0,GREEN,1,STANDARD,3,4,3g-1.png
0,0,7,0,0,GREEN,1,STANDARD,3,4,3g-2.png
3,0,7,0,0,GREEN,1,STANDARD,3,5,3g-3.png
0,5,3,3,3,GREEN,1,STANDARD,3,3,3g-4.png
7,0,0,0,0,RED,1,STANDARD,3,4,3r-1.png
3,3,5,3,0,RED,1,STANDARD,3,3,3r-2.png
7,0,0,0,3,RED,1,STANDARD,3,5,3r-3.png
6,0,3,0,3,RED,1,STANDARD,3,4,3r-4.png
3,0,3,3,5,WHITE,1,STANDARD,3,3,3w-1.png
0,3,0,7,0,WHITE,1,STANDARD,3,5,3w-2.png
0,0,0,7,0,WHITE,1,STANDARD,3,4,3w-3.png
0,3,0,6,3,WHITE,1,STANDARD,3,4,3w-4.png
